fail
65	80	89.9648	7.09588e+10	45
25	80	90	8.15296e+10	45
20	70	90	7.68523e+10	45
35	70	90	0.0937411	1.58917e-314
45	70	90.0004	342.496	5.343e-315
55	70	90	0.000922861	186
70	70	89.9009	5.88947e+10	45
45	55	89.9992	901323	1.60119e-314
30	60	90	6.56869e+10	45
15	55	89.9995	9.06192e+10	45
25	45	90.0102	1.26104e+11	45
15	35	89.9991	3.78757e+10	45
60	60	278.719	1.19454e+11	45
75	55	83.811	4.43055e+10	45
65	45	118.545	1.52558e+11	45
75	35	1618.2	37902.4	30.1
45	40	90.0001	1.34242e+06	1.60149e-314
45	25	90.0014	346137	5.39473e-315
