fail
29.9555	45	65	80	1.07493	0.127602	1.1158
27.4469	315	25	80	0.409236	0.592474	0.852518
38.2143	315	20	70	0.571279	0.632439	0.904149
31.4536	0	35	70	0.224434	0.793885	1.72711
30.4192	0	45	70	2.52252	0.621994	0.732485
32.5781	0	55	70	0.558178	0.436219	0.174569
40.501	45	70	70	1.39228	0.133663	2.07594
45.2806	0	45	55	7.68427	2.40745	13.337
42.3831	315	30	60	0.582357	0.442664	0.618014
53.3135	315	15	55	0.243633	0.573725	1.00716
58.1234	315	25	45	2.03673	0.618183	0.601704
71.0094	315	15	35	3.7367	3.54573	0.37435
43.6386	45	60	60	2.15037	0.161942	3.4881
55.3022	45	75	55	4.20089	1.63539	5.00394
59.3492	45	65	45	4.40076	1.12938	2.13888
72.5143	45	75	35	63.5182	0.0769522	11.6667
60.2107	0	45	40	10.2429	3.81616	17.5802
75.1687	0	45	25	12.4755	4.63884	9.24963
