fail
30.4164	90	30	55	0.953064	1.86956	1.64671
31.3873	90	30	45	1.8005	2.39392	0.402504
32.6368	90	30	65	2.48307	1.96091	1.58263
45.2787	90	45	55	21.3816	2.85663	6.48106
60.2093	90	60	55	5.96309	1.0023	7.06325
75.1675	90	75	55	10.0569	0.750025	0.563278
27.2976	45	20	35	4.51217	2.60434	0.350338
38.081	45	30	30	2.85338	1.72358	0.218124
42.3103	45	40	40	0.0464706	0.275104	1.89079
53.1992	45	45	25	0.695923	1.53764	0.957237
58.0531	45	55	35	0.886696	0.930449	2.98181
70.9236	45	65	25	1.75639	0.134987	7.13982
30.0859	135	20	75	1.67646	2.36816	1.71747
40.6222	135	30	80	0.348534	2.47622	2.66846
43.7054	135	40	70	2.86575	1.2896	0.686676
fail
55.409	135	45	85	1.0088	3.05269	6.84898
72.5959	135	65	85	5.7579	5.54014	8.74663
