fail
30.4164	90	30	55	0.664667	1.176	0.569383
31.3873	90	30	45	0.423215	0.653233	2.21273
32.6368	90	30	65	0.484747	0.630282	0.379092
45.2787	90	45	55	2.44004	5.28677	15.1434
60.2093	90	60	55	3.16291	5.61027	7.75805
75.1675	90	75	55	5.58568	3.21532	15.057
27.2976	45	20	35	0.228448	0.208763	0.481667
38.081	45	30	30	0.137263	0.573621	0.234048
42.3103	45	40	40	0.00222195	1.78238	2.3615
53.1992	45	45	25	0.523302	1.60231	1.09452
58.0531	45	55	35	0.894778	3.38341	4.12916
70.9236	45	65	25	4.95643	10.2347	5.50144
30.0859	135	20	75	0.173863	0.795988	0.197948
40.6222	135	30	80	0.888814	1.87666	1.34224
43.7054	135	40	70	0.549327	0.478688	0.456836
fail
55.409	135	45	85	3.11586	5.50089	3.23576
72.5959	135	65	85	0.856414	9.55921	11.0674
